S.NO,CROP,DISTRICT,MONTH
1,Arecanut,Chikmangaluru,"October, November"
2,Arecanut,Gulbarga,"June, July"
3,Arecanut,Hassan,"June, July, October, November"
4,Arecanut,Kasaragodu,"March, April"
5,Arecanut,Kodagu,"October, November"
6,Arecanut,Madikeri,"June, July, October, November"
7,Arecanut,Mysuru,"October, November"
8,Arecanut,Raichur,"March, April"
9,Blackgram,Chikmangaluru,"June, July, March, April"
10,Blackgram,Davangere,"March, April"
11,Blackgram,Gulbarga,"October, November"
12,Blackgram,Hassan,"June, July, October, November, March, April"
13,Blackgram,Kasaragodu,"March, April"
14,Blackgram,Mangalore,"June, July"
15,Blackgram,Raichur,"October, November"
16,Cardamum,Gulbarga,"June, July, October, November, March, April"
17,Cardamum,Hassan,"October, November, March, April"
18,Cardamum,Kasaragodu,"March, April"
19,Cardamum,Kodagu,"October, November, March, April"
20,Cardamum,Madikeri,"October, November"
21,Cardamum,Mangalore,"October, November"
22,Cardamum,Mysuru,"March, April"
23,Cardamum,Raichur,"June, July"
24,Cashew,Chikmangaluru,"June, July, October, November"
25,Cashew,Davangere,"March, April"
26,Cashew,Gulbarga,"October, November"
27,Cashew,Hassan,"June, July, October, November, March, April"
28,Cashew,Kasaragodu,"March, April"
29,Cashew,Mangalore,"June, July, October, November"
30,Cashew,Raichur,"October, November, March, April"
31,Cocoa,Chikmangaluru,"March, April"
32,Cocoa,Gulbarga,"October, November, March, April"
33,Cocoa,Hassan,"October, November, March, April"
34,Cocoa,Kasaragodu,"June, July"
35,Cocoa,Madikeri,"October, November"
36,Cocoa,Mangalore,"October, November, March, April"
37,Coconut,Chikmangaluru,"October, November, March, April"
38,Coconut,Davangere,"October, November, March, April"
39,Coconut,Gulbarga,"October, November, March, April"
40,Coconut,Hassan,"June, July, October, November, March, April"
41,Coconut,Kasaragodu,"June, July, October, November"
42,Coconut,Kodagu,"June, July, October, November"
43,Coconut,Madikeri,"October, November, March, April"
44,Coconut,Mangalore,"June, July, October, November, March, April"
45,Coconut,Mysuru,"June, July, October, November"
46,Coconut,Raichur,"June, July, October, November, March, April"
47,Coffee,Gulbarga,"October, November, March, April"
48,Coffee,Hassan,"October, November, March, April"
49,Coffee,Kodagu,"March, April"
50,Coffee,Madikeri,"October, November"
51,Coffee,Mangalore,"October, November, March, April"
52,Coffee,Raichur,"June, July"
53,Cotton,Chikmangaluru,"June, July, October, November"
54,Cotton,Gulbarga,"June, July"
55,Cotton,Hassan,"October, November"
56,Cotton,Mysuru,"June, July"
57,Ginger,Chikmangaluru,"October, November"
58,Ginger,Gulbarga,"June, July, October, November, March, April"
59,Ginger,Hassan,"June, July, October, November, March, April"
60,Ginger,Kasaragodu,"October, November, March, April"
61,Ginger,Kodagu,"October, November"
62,Ginger,Madikeri,"June, July, October, November"
63,Ginger,Mangalore,"October, November"
64,Ginger,Mysuru,"October, November"
65,Ginger,Raichur,"March, April"
66,Groundnut,Bangalore,"March, April"
67,Groundnut,Chikmangaluru,"June, July, March, April"
68,Groundnut,Davangere,"March, April"
69,Groundnut,Gulbarga,"October, November"
70,Groundnut,Hassan,"June, July, October, November"
71,Groundnut,Kasaragodu,"October, November, March, April"
72,Groundnut,Mangalore,"June, July"
73,Groundnut,Mysuru,"March, April"
74,Groundnut,Raichur,"October, November"
75,Paddy,Bangalore,"March, April"
76,Paddy,Chikmangaluru,"June, July, March, April"
77,Paddy,Gulbarga,"October, November"
78,Paddy,Hassan,"June, July, October, November"
79,Paddy,Kasaragodu,"October, November"
80,Paddy,Madikeri,"June, July"
81,Paddy,Mangalore,"June, July"
82,Paddy,Mysuru,"October, November, March, April"
83,Paddy,Raichur,"March, April"
84,Pepper,Chikmangaluru,"October, November"
85,Pepper,Gulbarga,"June, July"
86,Pepper,Hassan,"June, July, October, November, March, April"
87,Pepper,Kasaragodu,"March, April"
88,Pepper,Kodagu,"October, November"
89,Pepper,Madikeri,"June, July, October, November"
90,Pepper,Mangalore,"October, November"
91,Pepper,Mysuru,"March, April"
92,Pepper,Raichur,"March, April"
93,Tea,Chikmangaluru,"October, November, March, April"
94,Tea,Gulbarga,"October, November, March, April"
95,Tea,Hassan,"June, July, October, November"
96,Tea,Kasaragodu,"October, November"
97,Tea,Madikeri,"June, July"
98,Tea,Mysuru,"October, November"
99,Tea,Raichur,"March, April"
